[2022-05-30 16:30:27] [class-ss-plugin.php:268] Received request to start generating a static archive
[2022-05-30 16:30:32] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\11\pexels-gdtography-911738.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\11\pexels-gdtography-911738.jpg
[2022-05-30 16:30:32] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\11\pexels-helena-jankovicova-kovacova-6583514.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\11\pexels-helena-jankovicova-kovacova-6583514.jpg
[2022-05-30 16:30:32] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\11\pexels-joao-jesus-921294.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\11\pexels-joao-jesus-921294.jpg
[2022-05-30 16:30:32] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\11\pexels-laura-tancredi-7078049.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\11\pexels-laura-tancredi-7078049.jpg
[2022-05-30 16:30:32] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\11\pexels-rostislav-uzunov-4754883.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\11\pexels-rostislav-uzunov-4754883.jpg
[2022-05-30 16:30:32] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\11\pexels-sinitta-leunen-6652928.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\11\pexels-sinitta-leunen-6652928.jpg
[2022-05-30 16:30:32] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\11\pexels-yogendra-singh-3748221.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\11\pexels-yogendra-singh-3748221.jpg
[2022-05-30 16:30:33] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\11\Rectangle-595-2.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\11\Rectangle-595-2.jpg
[2022-05-30 16:30:33] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\11\Rectangle-595-3.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\11\Rectangle-595-3.jpg
[2022-05-30 16:30:33] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\11\Rectangle-602-1.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\11\Rectangle-602-1.jpg
